orf_name_X	orf_name_Y	gene_name_X	gene_name_Y	orientation	source_dataset	Y2H_v1	Y2H_v4
YMR061W	YGL044C	RNA14	RNA15	DB-X AD-Y	scPRSv2	Positive	Positive
YMR061W	YGL044C	RNA14	RNA15	DB-Y AD-X	scPRSv2	Failed sequence confirmation	Positive
YDR228C	YGL044C	PCF11	RNA15	DB-X AD-Y	scPRSv2	Positive	Positive
YDR228C	YGL044C	PCF11	RNA15	DB-Y AD-X	scPRSv2	Negative	Positive
YDR228C	YMR061W	PCF11	RNA14	DB-X AD-Y	scPRSv2	Positive	Positive
YDR228C	YMR061W	PCF11	RNA14	DB-Y AD-X	scPRSv2	Negative	Test failed
YMR146C	YOR361C	TIF34	PRT1	DB-X AD-Y	scPRSv2	Negative	Failed sequence confirmation
YMR146C	YOR361C	TIF34	PRT1	DB-Y AD-X	scPRSv2	Negative	Negative
YFL009W	YDL132W	CDC4	CDC53	DB-X AD-Y	scPRSv2	Negative	Negative
YFL009W	YDL132W	CDC4	CDC53	DB-Y AD-X	scPRSv2	Failed sequence confirmation	Negative
YOR194C	YKL058W	TOA1	TOA2	DB-X AD-Y	scPRSv2	Autoactivator	Positive
YOR194C	YKL058W	TOA1	TOA2	DB-Y AD-X	scPRSv2	Positive	Positive
YJR068W	YBR087W	RFC2	RFC5	DB-X AD-Y	scPRSv2	Negative	Autoactivator
YJR068W	YBR087W	RFC2	RFC5	DB-Y AD-X	scPRSv2	Negative	Positive
YDR388W	YMR192W	RVS167	GYL1	DB-X AD-Y	scPRSv2	Negative	Positive
YDR388W	YMR192W	RVS167	GYL1	DB-Y AD-X	scPRSv2	Failed sequence confirmation	Negative
YOL069W	YIL144W	NUF2	NDC80	DB-X AD-Y	scPRSv2	Negative	Positive
YOL069W	YIL144W	NUF2	NDC80	DB-Y AD-X	scPRSv2	Negative	Negative
YKL074C	YLR116W	MUD2	MSL5	DB-X AD-Y	scPRSv2	Negative	Negative
YKL074C	YLR116W	MUD2	MSL5	DB-Y AD-X	scPRSv2	Positive	Positive
YJR090C	YDL132W	GRR1	CDC53	DB-X AD-Y	scPRSv2	Negative	Negative
YJR090C	YDL132W	GRR1	CDC53	DB-Y AD-X	scPRSv2	Failed sequence confirmation	Failed sequence confirmation
YPR025C	YDL108W	CCL1	KIN28	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YPR025C	YDL108W	CCL1	KIN28	DB-Y AD-X	scPRSv2	Autoactivator	Positive
YOR026W	YGR188C	BUB3	BUB1	DB-X AD-Y	scPRSv2	Autoactivator	Failed sequence confirmation
YOR026W	YGR188C	BUB3	BUB1	DB-Y AD-X	scPRSv2	Test failed	Positive
YDR429C	YMR146C	TIF35	TIF34	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YDR429C	YMR146C	TIF35	TIF34	DB-Y AD-X	scPRSv2	Autoactivator	Positive
YDL043C	YJL203W	PRP11	PRP21	DB-X AD-Y	scPRSv2	Negative	Autoactivator
YDL043C	YJL203W	PRP11	PRP21	DB-Y AD-X	scPRSv2	Negative	Positive
YCR009C	YMR232W	RVS161	FUS2	DB-X AD-Y	scPRSv2	Test failed	Autoactivator
YCR009C	YMR232W	RVS161	FUS2	DB-Y AD-X	scPRSv2	Autoactivator	Positive
YLR212C	YNL126W	TUB4	SPC98	DB-X AD-Y	scPRSv2	Failed sequence confirmation	Positive
YLR212C	YNL126W	TUB4	SPC98	DB-Y AD-X	scPRSv2	Failed sequence confirmation	Negative
YFL009W	YDR328C	CDC4	SKP1	DB-X AD-Y	scPRSv2	Negative	Negative
YFL009W	YDR328C	CDC4	SKP1	DB-Y AD-X	scPRSv2	Positive	Failed sequence confirmation
YCR088W	YNL094W	ABP1	APP1	DB-X AD-Y	scPRSv2	Negative	Negative
YCR088W	YNL094W	ABP1	APP1	DB-Y AD-X	scPRSv2	Negative	Negative
YCR009C	YDR388W	RVS161	RVS167	DB-X AD-Y	scPRSv2	Negative	Negative
YCR009C	YDR388W	RVS161	RVS167	DB-Y AD-X	scPRSv2	Negative	Positive
YDR016C	YGR113W	DAD1	DAM1	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YDR016C	YGR113W	DAD1	DAM1	DB-Y AD-X	scPRSv2	Autoactivator	Positive
YOR368W	YLR288C	RAD17	MEC3	DB-X AD-Y	scPRSv2	Negative	Autoactivator
YOR368W	YLR288C	RAD17	MEC3	DB-Y AD-X	scPRSv2	Negative	Positive
YJL124C	YER146W	LSM1	LSM5	DB-X AD-Y	scPRSv2	Positive	Test failed
YJL124C	YER146W	LSM1	LSM5	DB-Y AD-X	scPRSv2	Positive	Positive
YHR172W	YNL126W	SPC97	SPC98	DB-X AD-Y	scPRSv2	Negative	Negative
YHR172W	YNL126W	SPC97	SPC98	DB-Y AD-X	scPRSv2	Negative	Negative
YGR246C	YGR047C	BRF1	TFC4	DB-X AD-Y	scPRSv2	Negative	Positive
YGR246C	YGR047C	BRF1	TFC4	DB-Y AD-X	scPRSv2	Negative	Negative
YDR429C	YOR361C	TIF35	PRT1	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YDR429C	YOR361C	TIF35	PRT1	DB-Y AD-X	scPRSv2	Negative	Negative
YDR378C	YER146W	LSM6	LSM5	DB-X AD-Y	scPRSv2	Positive	Test failed
YDR378C	YER146W	LSM6	LSM5	DB-Y AD-X	scPRSv2	Positive	Autoactivator
YDR328C	YJR090C	SKP1	GRR1	DB-X AD-Y	scPRSv2	Positive	Failed sequence confirmation
YDR328C	YJR090C	SKP1	GRR1	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YEL032W	YLR274W	MCM3	MCM5	DB-X AD-Y	scPRSv2	Negative	Positive
YEL032W	YLR274W	MCM3	MCM5	DB-Y AD-X	scPRSv2	Negative	Negative
YLR197W	YOR310C	NOP56	NOP58	DB-X AD-Y	scPRSv2	Negative	Negative
YLR197W	YOR310C	NOP56	NOP58	DB-Y AD-X	scPRSv2	Negative	Negative
YDR328C	YDL132W	SKP1	CDC53	DB-X AD-Y	scPRSv2	Negative	Positive
YDR328C	YDL132W	SKP1	CDC53	DB-Y AD-X	scPRSv2	Negative	Negative
YBR088C	YJR043C	POL30	POL32	DB-X AD-Y	scPRSv2	Negative	Negative
YBR088C	YJR043C	POL30	POL32	DB-Y AD-X	scPRSv2	Positive	Negative
YDR142C	YHR160C	PEX7	PEX18	DB-X AD-Y	scPRSv2	Positive	Positive
YDR142C	YHR160C	PEX7	PEX18	DB-Y AD-X	scPRSv2	Autoactivator	Autoactivator
YLR347C	YLR293C	KAP95	GSP1	DB-X AD-Y	scPRSv2	Negative	Failed sequence confirmation
YLR347C	YLR293C	KAP95	GSP1	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YOR181W	YDR388W	LAS17	RVS167	DB-X AD-Y	scPRSv2	Negative	Negative
YOR181W	YDR388W	LAS17	RVS167	DB-Y AD-X	scPRSv2	Negative	Positive
YKL022C	YGL240W	CDC16	DOC1	DB-X AD-Y	scPRSv2	Negative	Negative
YKL022C	YGL240W	CDC16	DOC1	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YDR328C	YMR094W	SKP1	CTF13	DB-X AD-Y	scPRSv2	Negative	Positive
YDR328C	YMR094W	SKP1	CTF13	DB-Y AD-X	scPRSv2	Negative	Negative
YIL046W	YDL132W	MET30	CDC53	DB-X AD-Y	scPRSv2	Negative	Negative
YIL046W	YDL132W	MET30	CDC53	DB-Y AD-X	scPRSv2	Negative	Negative
YDR472W	YKR068C	TRS31	BET3	DB-X AD-Y	scPRSv2	Test failed	Negative
YDR472W	YKR068C	TRS31	BET3	DB-Y AD-X	scPRSv2	Negative	Negative
YDL220C	YDR082W	CDC13	STN1	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YDL220C	YDR082W	CDC13	STN1	DB-Y AD-X	scPRSv2	Autoactivator	Autoactivator
YDR189W	YLR026C	SLY1	SED5	DB-X AD-Y	scPRSv2	Negative	Negative
YDR189W	YLR026C	SLY1	SED5	DB-Y AD-X	scPRSv2	Negative	Autoactivator
YOL133W	YDL132W	HRT1	CDC53	DB-X AD-Y	scPRSv2	Negative	Negative
YOL133W	YDL132W	HRT1	CDC53	DB-Y AD-X	scPRSv2	Negative	Negative
YFL009W	YOL133W	CDC4	HRT1	DB-X AD-Y	scPRSv2	Negative	Negative
YFL009W	YOL133W	CDC4	HRT1	DB-Y AD-X	scPRSv2	Negative	Negative
YDR142C	YGL153W	PEX7	PEX14	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YDR142C	YGL153W	PEX7	PEX14	DB-Y AD-X	scPRSv2	Failed sequence confirmation	Negative
YKR068C	YML077W	BET3	BET5	DB-X AD-Y	scPRSv2	Negative	Negative
YKR068C	YML077W	BET3	BET5	DB-Y AD-X	scPRSv2	Test failed	Negative
YDR246W	YKR068C	TRS23	BET3	DB-X AD-Y	scPRSv2	Test failed	Negative
YDR246W	YKR068C	TRS23	BET3	DB-Y AD-X	scPRSv2	Negative	Negative
YDR097C	YOL090W	MSH6	MSH2	DB-X AD-Y	scPRSv2	Test failed	Negative
YDR097C	YOL090W	MSH6	MSH2	DB-Y AD-X	scPRSv2	Test failed	Negative
YGL061C	YGR113W	DUO1	DAM1	DB-X AD-Y	scPRSv2	Positive	Test failed
YGL061C	YGR113W	DUO1	DAM1	DB-Y AD-X	scPRSv2	Positive	Negative
YMR117C	YER018C	SPC24	SPC25	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YMR117C	YER018C	SPC24	SPC25	DB-Y AD-X	scPRSv2	Autoactivator	Autoactivator
YER018C	YIL144W	SPC25	NDC80	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YER018C	YIL144W	SPC25	NDC80	DB-Y AD-X	scPRSv2	Negative	Negative
YIL144W	YMR117C	NDC80	SPC24	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YIL144W	YMR117C	NDC80	SPC24	DB-Y AD-X	scPRSv2	Autoactivator	Autoactivator
YGR246C	YER148W	BRF1	SPT15	DB-X AD-Y	scPRSv2	Test failed	Negative
YGR246C	YER148W	BRF1	SPT15	DB-Y AD-X	scPRSv2	Autoactivator	Autoactivator
YOR151C	YOR210W	RPB2	RPB10	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YOR151C	YOR210W	RPB2	RPB10	DB-Y AD-X	scPRSv2	Negative	Negative
YPL049C	YHR084W	DIG1	STE12	DB-X AD-Y	scPRSv2	Test failed	Negative
YPL049C	YHR084W	DIG1	STE12	DB-Y AD-X	scPRSv2	Autoactivator	Autoactivator
YMR117C	YOL069W	SPC24	NUF2	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YMR117C	YOL069W	SPC24	NUF2	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YDR468C	YOL018C	TLG1	TLG2	DB-X AD-Y	scPRSv2	Negative	Test failed
YDR468C	YOL018C	TLG1	TLG2	DB-Y AD-X	scPRSv2	Negative	Negative
YML051W	YDR009W	GAL80	GAL3	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YML051W	YDR009W	GAL80	GAL3	DB-Y AD-X	scPRSv2	Negative	Negative
YLR229C	YHR061C	CDC42	GIC1	DB-X AD-Y	scPRSv2	Test failed	Negative
YLR229C	YHR061C	CDC42	GIC1	DB-Y AD-X	scPRSv2	Negative	Autoactivator
YPL031C	YOL001W	PHO85	PHO80	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YPL031C	YOL001W	PHO85	PHO80	DB-Y AD-X	scPRSv2	Autoactivator	Test failed
YJR076C	YHR107C	CDC11	CDC12	DB-X AD-Y	scPRSv2	Negative	Negative
YJR076C	YHR107C	CDC11	CDC12	DB-Y AD-X	scPRSv2	Negative	Negative
YMR224C	YDR369C	MRE11	XRS2	DB-X AD-Y	scPRSv2	Negative	Test failed
YMR224C	YDR369C	MRE11	XRS2	DB-Y AD-X	scPRSv2	Positive	Negative
YER148W	YOR194C	SPT15	TOA1	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YER148W	YOR194C	SPT15	TOA1	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YER148W	YKL058W	SPT15	TOA2	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YER148W	YKL058W	SPT15	TOA2	DB-Y AD-X	scPRSv2	Negative	Negative
YDR103W	YGR040W	STE5	KSS1	DB-X AD-Y	scPRSv2	Autoactivator	Autoactivator
YDR103W	YGR040W	STE5	KSS1	DB-Y AD-X	scPRSv2	Negative	Negative
YBR160W	YLR079W	CDC28	SIC1	DB-X AD-Y	scPRSv2	Negative	Autoactivator
YBR160W	YLR079W	CDC28	SIC1	DB-Y AD-X	scPRSv2	Negative	Negative
YGR040W	YHR084W	KSS1	STE12	DB-X AD-Y	scPRSv2	Test failed	Negative
YGR040W	YHR084W	KSS1	STE12	DB-Y AD-X	scPRSv2	Autoactivator	Autoactivator
YOL139C	YGR162W	CDC33	TIF4631	DB-X AD-Y	scPRSv2	Test failed	Negative
YOL139C	YGR162W	CDC33	TIF4631	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YOR310C	YDL014W	NOP58	NOP1	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YOR310C	YDL014W	NOP58	NOP1	DB-Y AD-X	scPRSv2	Negative	Test failed
YCR088W	YDR388W	ABP1	RVS167	DB-X AD-Y	scPRSv2	Negative	Negative
YCR088W	YDR388W	ABP1	RVS167	DB-Y AD-X	scPRSv2	Negative	Negative
YNL138W	YCR088W	SRV2	ABP1	DB-X AD-Y	scPRSv2	Negative	Negative
YNL138W	YCR088W	SRV2	ABP1	DB-Y AD-X	scPRSv2	Negative	Negative
YHL007C	YBR200W	STE20	BEM1	DB-X AD-Y	scPRSv2	Negative	Negative
YHL007C	YBR200W	STE20	BEM1	DB-Y AD-X	scPRSv2	Negative	Negative
YKL022C	YHR166C	CDC16	CDC23	DB-X AD-Y	scPRSv2	Negative	Negative
YKL022C	YHR166C	CDC16	CDC23	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YJL194W	YFL009W	CDC6	CDC4	DB-X AD-Y	scPRSv2	Negative	Negative
YJL194W	YFL009W	CDC6	CDC4	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YPL049C	YBL016W	DIG1	FUS3	DB-X AD-Y	scPRSv2	Negative	Negative
YPL049C	YBL016W	DIG1	FUS3	DB-Y AD-X	scPRSv2	Negative	Negative
YDR309C	YLR229C	GIC2	CDC42	DB-X AD-Y	scPRSv2	Negative	Negative
YDR309C	YLR229C	GIC2	CDC42	DB-Y AD-X	scPRSv2	Negative	Negative
YMR255W	YDL207W	GFD1	GLE1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR255W	YDL207W	GFD1	GLE1	DB-Y AD-X	scPRSv2	Negative	Negative
YLR293C	YER110C	GSP1	KAP123	DB-X AD-Y	scPRSv2	Negative	Negative
YLR293C	YER110C	GSP1	KAP123	DB-Y AD-X	scPRSv2	Negative	Negative
YFR002W	YGR119C	NIC96	NUP57	DB-X AD-Y	scPRSv2	Negative	Negative
YFR002W	YGR119C	NIC96	NUP57	DB-Y AD-X	scPRSv2	Negative	Negative
YJL002C	YOR085W	OST1	OST3	DB-X AD-Y	scPRSv2	Negative	Negative
YJL002C	YOR085W	OST1	OST3	DB-Y AD-X	scPRSv2	Negative	Negative
YMR149W	YJL002C	SWP1	OST1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR149W	YJL002C	SWP1	OST1	DB-Y AD-X	scPRSv2	Negative	Negative
YGR162W	YER165W	TIF4631	PAB1	DB-X AD-Y	scPRSv2	Negative	Negative
YGR162W	YER165W	TIF4631	PAB1	DB-Y AD-X	scPRSv2	Negative	Negative
YEL037C	YGL048C	RAD23	RPT6	DB-X AD-Y	scPRSv2	Negative	Negative
YEL037C	YGL048C	RAD23	RPT6	DB-Y AD-X	scPRSv2	Negative	Negative
YMR309C	YBR079C	NIP1	RPG1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR309C	YBR079C	NIP1	RPG1	DB-Y AD-X	scPRSv2	Negative	Negative
YKL145W	YHR027C	RPT1	RPN1	DB-X AD-Y	scPRSv2	Negative	Negative
YKL145W	YHR027C	RPT1	RPN1	DB-Y AD-X	scPRSv2	Negative	Negative
YFR037C	YCR052W	RSC8	RSC6	DB-X AD-Y	scPRSv2	Negative	Negative
YFR037C	YCR052W	RSC8	RSC6	DB-Y AD-X	scPRSv2	Negative	Negative
YDR388W	YPL249C	RVS167	GYP5	DB-X AD-Y	scPRSv2	Negative	Negative
YDR388W	YPL249C	RVS167	GYP5	DB-Y AD-X	scPRSv2	Negative	Negative
YPL232W	YGR009C	SSO1	SEC9	DB-X AD-Y	scPRSv2	Negative	Negative
YPL232W	YGR009C	SSO1	SEC9	DB-Y AD-X	scPRSv2	Negative	Negative
YPL209C	YBR156C	IPL1	SLI15	DB-X AD-Y	scPRSv2	Autoactivator	Negative
YPL209C	YBR156C	IPL1	SLI15	DB-Y AD-X	scPRSv2	Negative	Negative
YGR082W	YNL131W	TOM20	TOM22	DB-X AD-Y	scPRSv2	Negative	Negative
YGR082W	YNL131W	TOM20	TOM22	DB-Y AD-X	scPRSv2	Negative	Negative
YJL002C	YEL002C	OST1	WBP1	DB-X AD-Y	scPRSv2	Negative	Negative
YJL002C	YEL002C	OST1	WBP1	DB-Y AD-X	scPRSv2	Negative	Negative
YMR149W	YEL002C	SWP1	WBP1	DB-X AD-Y	scPRSv2	Negative	Negative
YMR149W	YEL002C	SWP1	WBP1	DB-Y AD-X	scPRSv2	Negative	Negative
YKL196C	YLR026C	YKT6	SED5	DB-X AD-Y	scPRSv2	Negative	Negative
YKL196C	YLR026C	YKT6	SED5	DB-Y AD-X	scPRSv2	Negative	Negative
YLR293C	YIL063C	GSP1	YRB2	DB-X AD-Y	scPRSv2	Negative	Negative
YLR293C	YIL063C	GSP1	YRB2	DB-Y AD-X	scPRSv2	Negative	Negative
YDR356W	YBR109C	SPC110	CMD1	DB-X AD-Y	scPRSv2	Negative	Negative
YDR356W	YBR109C	SPC110	CMD1	DB-Y AD-X	scPRSv2	Negative	Negative
YLR229C	YBR200W	CDC42	BEM1	DB-X AD-Y	scPRSv2	Negative	Negative
YLR229C	YBR200W	CDC42	BEM1	DB-Y AD-X	scPRSv2	Negative	Negative
YKR068C	YOR115C	BET3	TRS33	DB-X AD-Y	scPRSv2	Negative	Negative
YKR068C	YOR115C	BET3	TRS33	DB-Y AD-X	scPRSv2	Autoactivator	Negative
YGL049C	YER165W	TIF4632	PAB1	DB-X AD-Y	scPRSv2	Negative	Negative
YGL049C	YER165W	TIF4632	PAB1	DB-Y AD-X	scPRSv2	Test failed	Negative
YDL208W	YNL124W	NHP2	NAF1	DB-X AD-Y	scPRSv2	Test failed	Autoactivator
YDL208W	YNL124W	NHP2	NAF1	DB-Y AD-X	scPRSv2	Negative	Negative
YLR229C	YHL007C	CDC42	STE20	DB-X AD-Y	scPRSv2	Test failed	Autoactivator
YLR229C	YHL007C	CDC42	STE20	DB-Y AD-X	scPRSv2	Negative	Negative
YMR203W	YNL131W	TOM40	TOM22	DB-X AD-Y	scPRSv2	Test failed	Negative
YMR203W	YNL131W	TOM40	TOM22	DB-Y AD-X	scPRSv2	Negative	Negative
